1.[TCP] SourcePort:46474,DestinationPort:6334
2.[TCP] SourcePort:63342,DestinationPort:4647
3.[UDP] SourcePort:37232,DestinationPort:37232
4.[TCP] SourcePort:80,DestinationPort:3925
5.[TCP] SourcePort:44210,DestinationPort:108
6.[TCP] SourcePort:1080,DestinationPort:4421
7.[TCP] SourcePort:44210,DestinationPort:108
8.[TCP] SourcePort:44210,DestinationPort:108
9.[TCP] SourcePort:1080,DestinationPort:4421
10.[TCP] SourcePort:1080,DestinationPort:4421
11.[TCP] SourcePort:44210,DestinationPort:108
12.[TCP] SourcePort:44210,DestinationPort:108
13.[TCP] SourcePort:1080,DestinationPort:4421
14.[TCP] SourcePort:44210,DestinationPort:108
15.[TCP] SourcePort:1080,DestinationPort:4421
16.[TCP] SourcePort:443,DestinationPort:3443
17.[TCP] SourcePort:443,DestinationPort:3443
18.[TCP] SourcePort:443,DestinationPort:3443
19.[TCP] SourcePort:1080,DestinationPort:4421
20.[TCP] SourcePort:44210,DestinationPort:108
21.[TCP] SourcePort:1080,DestinationPort:4421
22.[TCP] SourcePort:44210,DestinationPort:108
23.[TCP] SourcePort:1080,DestinationPort:4421
24.[TCP] SourcePort:44210,DestinationPort:108
25.[TCP] SourcePort:1080,DestinationPort:4421
26.[TCP] SourcePort:443,DestinationPort:3443
27.[TCP] SourcePort:1080,DestinationPort:4421
28.[TCP] SourcePort:44210,DestinationPort:108
29.[TCP] SourcePort:1080,DestinationPort:4421
30.[TCP] SourcePort:443,DestinationPort:3443
31.[TCP] SourcePort:443,DestinationPort:3443
32.[TCP] SourcePort:1080,DestinationPort:4421
33.[TCP] SourcePort:443,DestinationPort:3443
34.[TCP] SourcePort:1080,DestinationPort:4421
35.[TCP] SourcePort:44210,DestinationPort:108
36.[TCP] SourcePort:443,DestinationPort:3443
37.[TCP] SourcePort:1080,DestinationPort:4421
38.[TCP] SourcePort:443,DestinationPort:3443
39.[TCP] SourcePort:443,DestinationPort:3443
40.[TCP] SourcePort:1080,DestinationPort:4421
41.[TCP] SourcePort:44210,DestinationPort:108
42.[TCP] SourcePort:443,DestinationPort:3443
43.[TCP] SourcePort:443,DestinationPort:3443
44.[TCP] SourcePort:1080,DestinationPort:4421
45.[TCP] SourcePort:1080,DestinationPort:4421
46.[TCP] SourcePort:44210,DestinationPort:108
47.[TCP] SourcePort:443,DestinationPort:3443
48.[TCP] SourcePort:443,DestinationPort:3443
49.[TCP] SourcePort:1080,DestinationPort:4421
50.[TCP] SourcePort:1080,DestinationPort:4421
51.[TCP] SourcePort:44210,DestinationPort:108
52.[TCP] SourcePort:443,DestinationPort:3443
53.[TCP] SourcePort:1080,DestinationPort:4421
54.[TCP] SourcePort:44210,DestinationPort:108
55.[TCP] SourcePort:44214,DestinationPort:108
56.[TCP] SourcePort:1080,DestinationPort:4421
57.[TCP] SourcePort:44214,DestinationPort:108
58.[TCP] SourcePort:44214,DestinationPort:108
59.[TCP] SourcePort:1080,DestinationPort:4421
60.[TCP] SourcePort:1080,DestinationPort:4421
